id,user_id,product_id,created_at,updated_at
4594,2981,12672,2022-12-11 20:43:30,2022-12-11 20:43:30
4595,2981,12673,2022-12-11 20:43:35,2022-12-11 20:43:35
4596,2981,12676,2022-12-11 20:43:39,2022-12-11 20:43:39
4597,4635,12467,2022-12-13 22:07:02,2022-12-13 22:07:02
4598,4757,1268,2022-12-14 17:00:28,2022-12-14 17:00:28
4600,4711,11763,2022-12-14 17:55:41,2022-12-14 17:55:41
4602,4711,3146,2022-12-14 17:57:59,2022-12-14 17:57:59
4603,4761,634,2022-12-22 15:40:05,2022-12-22 15:40:05
4604,4761,688,2022-12-22 15:40:26,2022-12-22 15:40:26
4605,4761,714,2022-12-22 15:40:51,2022-12-22 15:40:51
4606,4761,786,2022-12-22 15:41:43,2022-12-22 15:41:43
4607,4761,1114,2022-12-22 15:44:22,2022-12-22 15:44:22
4608,4761,1110,2022-12-22 15:44:27,2022-12-22 15:44:27
4609,4761,1182,2022-12-22 15:44:36,2022-12-22 15:44:36
4610,4761,1184,2022-12-22 15:44:43,2022-12-22 15:44:43
4611,4761,1520,2022-12-22 15:47:32,2022-12-22 15:47:32
4612,4761,1522,2022-12-22 15:47:34,2022-12-22 15:47:34
4613,4761,1524,2022-12-22 15:47:41,2022-12-22 15:47:41
4614,4761,1526,2022-12-22 15:47:45,2022-12-22 15:47:45
4615,4761,1532,2022-12-22 15:47:50,2022-12-22 15:47:50
4616,4762,12619,2022-12-23 20:25:20,2022-12-23 20:25:20
4617,4760,12404,2022-12-26 16:15:32,2022-12-26 16:15:32
4618,1471,12417,2022-12-28 21:18:04,2022-12-28 21:18:04
4620,1471,12592,2022-12-28 21:18:26,2022-12-28 21:18:26
4621,1471,12536,2022-12-28 21:19:21,2022-12-28 21:19:21
4623,1471,12537,2022-12-28 21:19:38,2022-12-28 21:19:38
4624,1471,12591,2022-12-28 21:20:25,2022-12-28 21:20:25
4625,3090,2414,2023-01-01 14:37:46,2023-01-01 14:37:46
4627,1803,524,2023-01-10 17:38:56,2023-01-10 17:38:56
4628,4611,12480,2023-01-12 21:06:33,2023-01-12 21:06:33
4629,1821,12725,2023-01-14 12:55:17,2023-01-14 12:55:17
4630,4576,402,2023-01-26 19:39:03,2023-01-26 19:39:03
4631,1821,12726,2023-01-27 11:42:51,2023-01-27 11:42:51
4632,4595,3014,2023-01-27 21:39:58,2023-01-27 21:39:58
4633,4778,356,2023-01-31 09:11:02,2023-01-31 09:11:02
4634,4778,262,2023-01-31 09:13:16,2023-01-31 09:13:16
4635,4778,9067,2023-01-31 09:17:15,2023-01-31 09:17:15
4636,4778,3302,2023-01-31 09:18:07,2023-01-31 09:18:07
4637,4778,274,2023-01-31 09:21:35,2023-01-31 09:21:35
4638,4778,2166,2023-01-31 09:22:38,2023-01-31 09:22:38
4640,4778,312,2023-01-31 09:24:04,2023-01-31 09:24:04
4641,4778,1360,2023-01-31 09:25:59,2023-01-31 09:25:59
4642,4778,1062,2023-01-31 09:26:06,2023-01-31 09:26:06
4643,4778,358,2023-01-31 09:27:01,2023-01-31 09:27:01
4644,4778,344,2023-01-31 09:27:17,2023-01-31 09:27:17
4645,4778,346,2023-01-31 09:27:24,2023-01-31 09:27:24
4646,4778,500,2023-01-31 09:28:13,2023-01-31 09:28:13
4647,4778,504,2023-01-31 09:28:29,2023-01-31 09:28:29
4648,4778,540,2023-01-31 09:28:42,2023-01-31 09:28:42
4649,4778,2998,2023-01-31 09:29:20,2023-01-31 09:29:20
4650,4778,9318,2023-01-31 09:30:06,2023-01-31 09:30:06
4651,4778,12198,2023-01-31 09:31:51,2023-01-31 09:31:51
4652,4778,12273,2023-01-31 09:32:42,2023-01-31 09:32:42
4653,4778,12340,2023-01-31 09:33:27,2023-01-31 09:33:27
4654,4778,12559,2023-01-31 09:35:25,2023-01-31 09:35:25
4655,4778,1314,2023-01-31 09:37:10,2023-01-31 09:37:10
4656,4778,3290,2023-01-31 09:37:20,2023-01-31 09:37:20
4657,4778,1240,2023-01-31 09:40:20,2023-01-31 09:40:20
4658,4778,2522,2023-01-31 09:57:55,2023-01-31 09:57:55
4659,4778,12777,2023-01-31 10:02:52,2023-01-31 10:02:52
4660,4778,11441,2023-01-31 10:03:01,2023-01-31 10:03:01
4661,4778,12679,2023-01-31 10:04:18,2023-01-31 10:04:18
4662,1803,12529,2023-02-07 17:19:50,2023-02-07 17:19:50
4663,1318,12252,2023-02-07 22:12:45,2023-02-07 22:12:45
4664,1803,540,2023-02-08 20:04:47,2023-02-08 20:04:47
4665,4788,6251,2023-02-09 19:26:49,2023-02-09 19:26:49
4666,4788,12252,2023-02-09 19:28:13,2023-02-09 19:28:13
4667,4788,12273,2023-02-09 19:29:47,2023-02-09 19:29:47
4668,4788,12193,2023-02-09 19:34:02,2023-02-09 19:34:02
4669,4788,12440,2023-02-09 19:34:49,2023-02-09 19:34:49
4670,4788,10798,2023-02-09 20:11:57,2023-02-09 20:11:57
4671,3459,12492,2023-02-09 21:32:17,2023-02-09 21:32:17
4672,1318,304,2023-02-10 21:19:59,2023-02-10 21:19:59
4673,1318,314,2023-02-10 21:20:05,2023-02-10 21:20:05
4674,1318,316,2023-02-10 21:20:08,2023-02-10 21:20:08
4675,1318,368,2023-02-10 21:20:57,2023-02-10 21:20:57
4676,1318,424,2023-02-10 21:23:02,2023-02-10 21:23:02
4677,1318,454,2023-02-10 21:27:49,2023-02-10 21:27:49
4678,4786,12665,2023-02-12 12:57:41,2023-02-12 12:57:41
4679,4329,12782,2023-02-14 15:13:06,2023-02-14 15:13:06
4680,1803,12784,2023-02-14 15:20:58,2023-02-14 15:20:58
4681,1803,12782,2023-02-14 15:21:31,2023-02-14 15:21:31
4683,4502,2018,2023-02-15 12:23:53,2023-02-15 12:23:53
4684,4502,1628,2023-02-15 12:24:21,2023-02-15 12:24:21
4685,4502,2000,2023-02-15 12:25:22,2023-02-15 12:25:22
4686,4794,3492,2023-02-16 16:22:27,2023-02-16 16:22:27
4687,4794,3484,2023-02-16 16:46:33,2023-02-16 16:46:33
4688,1842,12782,2023-02-17 21:21:10,2023-02-17 21:21:10
4689,1212,548,2023-02-19 11:25:07,2023-02-19 11:25:07
4690,1212,550,2023-02-19 11:25:14,2023-02-19 11:25:14
4691,1212,556,2023-02-19 11:26:12,2023-02-19 11:26:12
4692,1212,554,2023-02-19 11:26:18,2023-02-19 11:26:18
4693,1212,1336,2023-02-19 11:26:48,2023-02-19 11:26:48
4694,1803,516,2023-02-22 20:40:56,2023-02-22 20:40:56
4695,1803,518,2023-02-22 20:47:40,2023-02-22 20:47:40
4696,4014,1342,2023-02-23 11:29:55,2023-02-23 11:29:55
4697,4014,980,2023-02-23 11:32:28,2023-02-23 11:32:28
4698,4014,2966,2023-02-23 11:34:42,2023-02-23 11:34:42
4699,4014,1578,2023-02-23 11:40:37,2023-02-23 11:40:37
4700,700,1268,2023-02-25 14:33:08,2023-02-25 14:33:08
4701,700,740,2023-02-25 14:35:45,2023-02-25 14:35:45
4703,700,2942,2023-02-25 14:39:58,2023-02-25 14:39:58
4704,700,1992,2023-02-25 15:01:22,2023-02-25 15:01:22
4706,3128,1936,2023-02-28 11:13:48,2023-02-28 11:13:48
4708,4810,12362,2023-03-04 11:47:28,2023-03-04 11:47:28
4709,4810,9164,2023-03-04 11:50:49,2023-03-04 11:50:49
4710,4810,9160,2023-03-04 11:50:50,2023-03-04 11:50:50
4711,4810,12782,2023-03-04 11:54:46,2023-03-04 11:54:46
4712,4778,2506,2023-03-05 15:45:53,2023-03-05 15:45:53
4713,4778,2552,2023-03-05 15:48:47,2023-03-05 15:48:47
4714,2293,1916,2023-03-06 21:09:38,2023-03-06 21:09:38
4715,2293,1958,2023-03-06 21:10:21,2023-03-06 21:10:21
4717,3608,10338,2023-03-09 16:50:32,2023-03-09 16:50:32
4718,668,384,2023-03-11 15:45:07,2023-03-11 15:45:07
4719,668,376,2023-03-11 15:57:09,2023-03-11 15:57:09
4720,668,596,2023-03-11 16:03:33,2023-03-11 16:03:33
4721,668,1584,2023-03-11 16:10:56,2023-03-11 16:10:56
4722,668,1586,2023-03-11 16:11:36,2023-03-11 16:11:36
4723,668,1800,2023-03-11 16:14:50,2023-03-11 16:14:50
4724,668,1956,2023-03-11 16:19:29,2023-03-11 16:19:29
4725,668,10798,2023-03-11 16:44:28,2023-03-11 16:44:28
4726,668,11380,2023-03-11 16:47:20,2023-03-11 16:47:20
4727,668,11454,2023-03-11 16:48:24,2023-03-11 16:48:24
4728,668,12205,2023-03-11 16:54:04,2023-03-11 16:54:04
4729,668,12208,2023-03-11 16:54:50,2023-03-11 16:54:50
4730,668,12222,2023-03-11 16:56:20,2023-03-11 16:56:20
4731,668,12235,2023-03-11 16:57:19,2023-03-11 16:57:19
